
 		"DOTA_ChallengeDesc_Abaddon_"				Debuff enemy Heroes with Curse of Avernus for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_DragonKnight_"			Deal <font color='#ffffff'>%s1</font> damage to enemy buildings while you are affected by Elder Dragon Form.
		"DOTA_ChallengeDesc_DragonKnight_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes that are affected by Dragon Tail.
		
		"DOTA_ChallengeDesc_DrowRanger_"			Debuff enemy Heroes with Frost Arrows for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_DrowRanger_"			Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Frost Arrows.
		
		"DOTA_ChallengeDesc_EarthSpirit_"			Debuff enemy Heroes with Geomagnetic Grip for <font color='#ffffff'>%s1</font> seconds.
		
		"DOTA_ChallengeDesc_Earhtshaker_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Echo Slam.
		
		"DOTA_ChallengeDesc_ElderTitan_"			Debuff enemy Hereos with Natural Order for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_ElderTitan_"			Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Natural Order.
		
		"DOTA_ChallengeDesc_EmberSpirit_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes while you are affected by Flame Guard.
		"DOTA_ChallengeDesc_EmberSpirit_"			Prevent <font color='#ffffff'>%s1</font> damage from enemy Heroes with Flame Guard.
		
		"DOTA_ChallengeDesc_Enchantress_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Impetus.
		"DOTA_ChallengeDesc_Enchantress_"			Debuff enemy Heroes with Untouchable for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_Enchantress_"			Heal <font color='#ffffff'>%s1</font> health to allied Heroes with Nature's Attendants.
		
		"DOTA_ChallengeDesc_Enigma_"				Deal <font color='#ffffff'>%s1</font> damage to enemy buildings with Demonic Summoning.
		"DOTA_ChallengeDesc_Enigma_"				Kill <font color='#ffffff'>%s1</font> enemy creeps with Demonic Summoning.
		"DOTA_ChallengeDesc_Enigma_"				Summon <font color='#ffffff'>%s1</font> eidolons with Demonic Summoning.
		
		"DOTA_ChallengeDesc_FacelessVoid_"			Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Chronosphere.
		"DOTA_ChallengeDesc_FacelessVoid_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Time Lock.
		
		"DOTA_ChallengeDesc_Grimstroke_"			Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Soulbind.
		"DOTA_ChallengeDesc_Grimstroke_"			Kill <font color='#ffffff'>%s1</font> enemy creeps with Stroke of Fate.
		
		"DOTA_ChallengeDesc_Gyrocopter_"			Kill <font color='#ffffff'>%s1</font> enemy creeps with Flak Cannon.
		
		"DOTA_ChallengeDesc_Hoodwink_"				Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes while you are affected by Scurry.
		"DOTA_ChallengeDesc_Hoodwink_"				Buff yourself with Scurry for <font color='#ffffff'>%s1</font> seconds.
		
		"DOTA_ChallengeDesc_Huskar_"				Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Burning Spear.
		"DOTA_ChallengeDesc_Huskar_"				Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes while that are affected by Life Break.
		"DOTA_ChallengeDesc_Huskar_"				Hit multiple enemy Heroes with Inner Fire <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_Invoker_"				Buff allied Heroes with Alacrity for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_Invoker_"				Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Chaos Meteor.
		"DOTA_ChallengeDesc_Invoker_"				Hit multiple enemy Heroes with Deafening Blast <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_Io_"
		
		"DOTA_ChallengeDesc_Jakiro_"				Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes that are affected by Liquid Frost.
		
		"DOTA_ChallengeDesc_Juggernaut_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Blade Dance.
		
		"DOTA_ChallengeDesc_KeeperoftheLight_"		Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Illuminate.
		"DOTA_ChallengeDesc_KeeperoftheLight_"		Get <font color='#ffffff'>%s1</font> kills or assists while you are affected by Spirit Form.
		"DOTA_ChallengeDesc_KeeperoftheLight_"		Heal <font color='#ffffff'>%s1</font> health to allied Heroes with Illuminate.
		
		"DOTA_ChallengeDesc_Kez_"
		
		"DOTA_ChallengeDesc_Kunkka_"
		
		"DOTA_ChallengeDesc_LegionCommander_"		Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes while you are affected by Duel.
		"DOTA_ChallengeDesc_LegionCommander_"		Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes while you are affected by Overwhelming Odds.
		
		"DOTA_ChallengeDesc_Leshrac_"				Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Pulse Nova.
		"DOTA_ChallengeDesc_Leshrac_"				Hit multiple enemy Heroes with Lightning Storm.
		
		"DOTA_ChallengeDesc_Lich_"					Buff allied Heroes with Frost Shield for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_Lich_"					Burn <font color='#ffffff'>%s1</font> mana from enemy Heroes with Sinister Gaze.
		"DOTA_ChallengeDesc_Lich_"					Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Chain Frost.
		"DOTA_ChallengeDesc_Lich_"					Hit multiple enemy Heroes with Frost Shield <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_Lifestealer_"			Heal <font color='#ffffff'>%s1</font> health with Feast.
		
		"DOTA_ChallengeDesc_Lina"					Buff yourself with Fiery Soul for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_Lina"					Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Laguna Blade.
		"DOTA_ChallengeDesc_Lina"					Hit multiple enemy Heroes with Dragon Slave <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_Lion_"					Burn <font color='#ffffff'>%s1</font> mana from enemy Heroes with Mana Drain.
		"DOTA_ChallengeDesc_Lion_"					Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Finger of Death.
		"DOTA_ChallengeDesc_Lion_"					Debuff enemy Heroes with Hex for <font color='#ffffff'>%s1</font> seconds.
		
		"DOTA_ChallengeDesc_LoneDruid_"
		
		"DOTA_ChallengeDesc_Luna_"					Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Lucent Beam.
		
		"DOTA_ChallengeDesc_Lycan_"					Deal <font color='#ffffff'>%s1</font> damage to enemy buildings while you are affected by Shapeshift.
		"DOTA_ChallengeDesc_Lycan_"					Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes while you are affected by Shapeshift.
		
		"DOTA_ChallengeDesc_Magnus_"				Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Reverse Polarity.
		"DOTA_ChallengeDesc_Magnus_"				Hit multiple enemy Heroes with Skewer <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_Marci_"					Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes while you are affected by Unleash.
		
		"DOTA_ChallengeDesc_Mars_"					Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with God's Rebuke.
		
		"DOTA_ChallengeDesc_Medusa_"				Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Split Shot.
		"DOTA_ChallengeDesc_Medusa_"				Hit multiple enemy Heroes with Gorgon's Grasp <font color='#ffffff'>%s1</font> times.
		"DOTA_ChallengeDesc_Medusa_"				Hit multiple enemy Heroes with Mystic Snake <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_Meepo_"					Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Earthbind.
		"DOTA_ChallengeDesc_Meepo_"					Heal <font color='#ffffff'>%s1</font> health with Ransack.
		"DOTA_ChallengeDesc_Meepo_"					Hit multiple enemy Heroes with Earthbind <font color='#ffffff'>%s1</font> times.
		"DOTA_ChallengeDesc_Meepo_"					Kill <font color='#ffffff'>%s1</font> enemy creeps with Poof.
		
		"DOTA_ChallengeDesc_Mirana_"				Deal <font color='#ffffff'>%s1</font> damage to enemy with Starstorm.
		"DOTA_ChallengeDesc_Mirana_"				Get <font color='#ffffff'>%s1</font> kills or assists that are affected by Sacred Arrow.
		"DOTA_ChallengeDesc_Mirana_"				Get <font color='#ffffff'>%s1</font> kills or assists while you are affected by Moonlight Shadow.
		"DOTA_ChallengeDesc_Mirana_"				Hit enemy Heroes with Sacred Arrow <font color='#ffffff'>%s1</font> times.
		"DOTA_ChallengeDesc_Mirana_"				Hit multiple enemy Heroes with Starstorm <font color='#ffffff'>%s1</font> times.
		"DOTA_ChallengeDesc_Mirana_"				Kill <font color='#ffffff'>%s1</font> enemy creeps with Starstorm.
		
		"DOTA_ChallengeDesc_MonkeyKing_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes while you are affected by Jingu Mastery.
		"DOTA_ChallengeDesc_MonkeyKing_"			Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes while they are affected by Primal Spring.
		"DOTA_ChallengeDesc_MonkeyKing_"			Heal <font color='#ffffff'>%s1</font> health with Jingu Mastery.
		
		"DOTA_ChallengeDesc_Morphling_"				Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes while you are affected by Morph.
		"DOTA_ChallengeDesc_Morphling_"				Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes while you are affected by Morph.
		"DOTA_ChallengeDesc_Morphling_"				Kill <font color='#ffffff'>%s1</font> enemy creeps with Waveform.
		
		"DOTA_ChallengeDesc_Muerta_"
		
		"DOTA_ChallengeDesc_NagaSiren_"				Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Ensnare.
		
		"DOTA_ChallengeDesc_NaturesProphet_"		Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Wrath of Nature.
		"DOTA_ChallengeDesc_NaturesProphet_"		Hit multiple enemy Heroes with Wrath of Nature <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_Necrophos_"				Heal <font color='#ffffff'>%s1</font> health to allied Heroes with Death Pulse.
		
		"DOTA_ChallengeDesc_NightStalker_"
		
		"DOTA_ChallengeDesc_NyxAssassin_"			Deal <font color='#ffffff'>%s1</font> damage to enemy with Vendetta.
		"DOTA_ChallengeDesc_NyxAssassin_"			Get <font color='#ffffff'>%s1</font> kills or assists on enemy that are affected by Impale.
		"DOTA_ChallengeDesc_NyxAssassin_"			Hit multiple enemy Heroes with Impale <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_OgreMagi_"				Buff allied Heroes with Bloodlust for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_OgreMagi_"				Debuff enemy Heroes with Ignite for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_OgreMagi_"				Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Ignite.
		
		"DOTA_ChallengeDesc_Omniknight_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Hammer of Purity.
		"DOTA_ChallengeDesc_Omniknight_"			Heal <font color='#ffffff'>%s1</font> health to allied Heroes with Purification.
		
		"DOTA_ChallengeDesc_Oracle_"				Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes that are affected by Fortune's End.
		"DOTA_ChallengeDesc_Oracle_"				Heal <font color='#ffffff'>%s1</font> health to allied Heroes with Purifying Flames.
		"DOTA_ChallengeDesc_Oracle_"				Prevent <font color='#ffffff'>%s1</font> damage from enemy Heroes with Fate's Edict.
		
		"DOTA_ChallengeDesc_OutworldDestroyer_"		Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Sanity's Eclipse.
		"DOTA_ChallengeDesc_OutworldDestroyer_"		Restore <font color='#ffffff'>%s1</font> mana with Essence Flux.
		
		"DOTA_ChallengeDesc_Pangolier_"				Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes while you are affected by Rolling Thunder.
		"DOTA_ChallengeDesc_Pangolier_"				Debuff enemy Heroes with Lucky Shot for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_Pangolier_"				Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Lucky Shot.
		"DOTA_ChallengeDesc_Pangolier_"				Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes while you are affected by Rolling Thunder.
		"DOTA_ChallengeDesc_Pangolier_"				Hit multiple enemy Heroes with Swashbuckle <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_PhantomAssassin_"		Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Coup de Grace.
		"DOTA_ChallengeDesc_PhantomAssassin_"		Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Stifling Dagger.
		
		"DOTA_ChallengeDesc_PhantomLancer_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes while you are affected by <span>Phantom Rush</span>.
		"DOTA_ChallengeDesc_PhantomLancer_"			Disjoint enemy abilities with Doppleganger <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_Phoenix_"				Hit multiple enemy Heroes with Icarus Dive <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_PrimalBeast_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes while you are affected by Uproar.
		"DOTA_ChallengeDesc_PrimalBeast_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Trample.
		"DOTA_ChallengeDesc_PrimalBeast_"			Debuff enemy Heroes with Uproar for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_PrimalBeast_"			Hit multiple enemy Heroes with Onslaught <font color='#ffffff'>%s1</font> times.
		"DOTA_ChallengeDesc_PrimalBeast_"			Hit multiple enemy Heroes with Pulverize <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_Puck_"					Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes that are affected by Dream Coil.
		"DOTA_ChallengeDesc_Puck_"					Disjoint enemy abilities with Phase Shift <font color='#ffffff'>%s1</font> times.
		"DOTA_ChallengeDesc_Puck_"					Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Dream Coil.
		"DOTA_ChallengeDesc_Puck_"					Hit multiple enemy Heroes with Dream Coil <font color='#ffffff'>%s1</font> times.
		"DOTA_ChallengeDesc_Puck_"					Hit multiple enemy Heroes with Illusory Orb <font color='#ffffff'>%s1</font> times.
		"DOTA_ChallengeDesc_Puck_"					Hit multiple enemy Heroes with Waning Rift <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_Pudge_"					Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes while you are affected by Rot.
		"DOTA_ChallengeDesc_Pudge_"					Debuff enemy Heroes with Rot for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_Pudge_"					Hit enemy Heroes with Meat Hook <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_Pugna_"					Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Life Drain.
		"DOTA_ChallengeDesc_Pugna_"					Hit multiple enemy Heroes with Nether Blast <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_QueenofPain_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Sonic Wave.
		"DOTA_ChallengeDesc_QueenofPain_"			Disjoint enemy abilities with Blink <font color='#ffffff'>%s1</font> times.
		"DOTA_ChallengeDesc_QueenofPain_"			Hit multiple enemy Heroes with Scream of Pain <font color='#ffffff'>%s1</font> times.
		"DOTA_ChallengeDesc_QueenofPain_"			Hit multiple enemy Heroes with Sonic Wave <font color='#ffffff'>%s1</font> times.
		"DOTA_ChallengeDesc_QueenofPain_"			Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Shadow Strike.
		
		"DOTA_ChallengeDesc_Razor_"					Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes while you are affected by Eye of the Storm.
		
		"DOTA_ChallengeDesc_Riki_"					Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Backstab.

		"DOTA_ChallengeDesc_Ringmaster_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes that are affected by Impalement Arts.
		"DOTA_ChallengeDesc_Ringmaster_"			Debuff enemy Heroes with Impalement Arts for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_Ringmaster_"			Hit multiple enemy Heroes with Tame the Beast <font color='#ffffff'>%s1</font> times.

		"DOTA_ChallengeDesc_Rubick_"				Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Fade Bolt.

		"DOTA_ChallengeDesc_SandKing_"				Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Epicenter.
		"DOTA_ChallengeDesc_SandKing_"				Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Sandstorm.
		
		"DOTA_ChallengeDesc_ShadowDemon_"
		
		"DOTA_ChallengeDesc_ShadowFiend_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Shadowraze.
		"DOTA_ChallengeDesc_ShadowFiend_"			Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Presence of the Dark Lord.
		"DOTA_ChallengeDesc_ShadowFiend_"			Hit multiple enemy Heroes with Requiem of Souls <font color='#ffffff'>%s1</font> times.
		"DOTA_ChallengeDesc_ShadowFiend_"			Kill <font color='#ffffff'>%s1</font> enemy creeps with Shadowraze.
		
		"DOTA_ChallengeDesc_ShadowShaman_"

		"DOTA_ChallengeDesc_Silencer_"				Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Glaives of Wisdom.
		"DOTA_ChallengeDesc_Silencer_"				Debuff enemy Heroes with Global Silence for <font color='#ffffff'>%s1</font> seconds.
		
		"DOTA_ChallengeDesc_SkywrathMage_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes that are affected by Ancient Seal.
		"DOTA_ChallengeDesc_SkywrathMage_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Mystic Flare.
		"DOTA_ChallengeDesc_SkywrathMage_"			Debuff enemy Heroes with Concussive Shot for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_SkywrathMage_"			Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Ancient Seal.
		"DOTA_ChallengeDesc_SkywrathMage_"			Hit enemy Heroes with Arcane Bold <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_Slardar_"				Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes that are affected by Corrosive Haze.
		"DOTA_ChallengeDesc_Slardar_"				Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Corrosive Haze.
		"DOTA_ChallengeDesc_Slardar_"				Hit multiple enemy Heroes with Slithereen Crush <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_Slark_"
		
		"DOTA_ChallengeDesc_Snapfire_"

		"DOTA_ChallengeDesc_Sniper_"				Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Headshot.
		"DOTA_ChallengeDesc_Sniper_"				Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes while you are affected by Take Aim.
		"DOTA_ChallengeDesc_Sniper_"				Hit multiple enemy Heroes with Shrapnel <font color='#ffffff'>%s1</font> times.

		"DOTA_ChallengeDesc_Spectre_"				Deal <font color='#ffffff'>%s1</font> damage to enemy with Dispersion.
		"DOTA_ChallengeDesc_Spectre_"				Debuff enemy Heroes with Spectral Dagger for <font color='#ffffff'>%s1</font> seconds.

		"DOTA_ChallengeDesc_SpiritBreaker_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Greater Bash.
		"DOTA_ChallengeDesc_SpiritBreaker_"			Debuff enemy Heroes with Greater Bash for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_SpiritBreaker_"			Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Greater Bash.

